"[""Genius is one percent inspiration and ninety-nine percent perspiration. By: Thomas Edison.""], "
"[""You can observe a lot just by watching. By: Yogi Berra.""], "
"[""A house divided against itself cannot stand. By: Abraham Lincoln.""], "
"[""Difficulties increase the nearer we get to the goal. By: Johann Wolfgang von Goethe.""], "
"[""Fate is in your hands and no one elses By Byron Pulsifer.""], "
"[""Be the chief but never the lord. By: Lao Tzu.""], "
"[""Nothing happens unless first we dream. By: Carl Sandburg.""], "
"[""Well begun is half done. By: Aristotle.""], "
"[""Life is a learning experience, only if you learn. By: Yogi Berra.""], "
"[""Self-complacency is fatal to progress. By: Margaret Sangster.""], "
"[""Peace comes from within. Do not seek it without. By: Buddha.""], "
"[""What you give is what you get. By: Byron Pulsifer.""], "
"[""We can only learn to love by loving. By: Iris Murdoch.""], "
"[""Life is change. Growth is optional. Choose wisely. By: Karen Clark.""], "
"[""Youll see it when you believe it. By: Wayne Dyer.""], "
"[""Today is the tomorrow we worried about yesterday. By: .""], "
"[""Its easier to see the mistakes on someone elses paper. By: .""], "
"[""Every man dies. Not every man really lives. By: .""], "
"[""To lead people walk behind them. By: Lao Tzu.""], "
"[""Having nothing, nothing can he lose. By: William Shakespeare.""], "
"[""Trouble is only opportunity in work clothes. By: Henry J. Kaiser.""], "
"[""A rolling stone gathers no moss. By: Publilius Syrus.""], "
"[""Ideas are the beginning points of all fortunes. By: Napoleon Hill.""], "
"[""Everything in life is luck. By: Donald Trump.""], "
"[""Doing nothing is better than being busy doing nothing. By: Lao Tzu.""], "
"[""Trust yourself. You know more than you think you do. By: Benjamin Spock.""], "
"[""Study the past, if you would divine the future. By: Confucius.""], "
"[""The day is already blessed, find peace within it. By: .""], "
"[""From error to error one discovers the entire truth. By: Sigmund Freud.""], "
"[""Well done is better than well said. By: Benjamin Franklin.""], "
"[""Bite off more than you can chew, then chew it. By: Ella Williams.""], "
"[""Work out your own salvation. Do not depend on others. By: Buddha.""], "
"[""One today is worth two tomorrows. By: Benjamin Franklin.""], "
"[""Once you choose hope, anythings possible. By: Christopher Reeve.""], "
"[""God always takes the simplest way. By: Albert Einstein.""], "
"[""One fails forward toward success. By: Charles Kettering.""], "
"[""From small beginnings come great things. By: .""], "
"[""Learning is a treasure that will follow its owner everywhere By Chinese proverb.""], "
"[""Be as you wish to seem. By: Socrates.""], "
"[""The world is always in movement. By: V. Naipaul.""], "
"[""Never mistake activity for achievement. By: John Wooden.""], "
"[""What worries you masters you. By: Haddon Robinson.""], "
"[""One faces the future with ones past. By: Pearl Buck.""], "
"[""Goals are the fuel in the furnace of achievement. By: Brian Tracy.""], "
"[""Who sows virtue reaps honour. By: Leonardo da Vinci.""], "
"[""Be kind whenever possible. It is always possible. By: Dalai Lama.""], "
"[""Talk doesnt cook rice. By: Chinese proverb.""], "
"[""He is able who thinks he is able. By: Buddha.""], "
"[""A goal without a plan is just a wish. By: Larry Elder.""], "
"[""To succeed, we must first believe that we can. By: Michael Korda.""], "
"[""Learn from yesterday, live for today, hope for tomorrow. By: Albert Einstein.""], "
"[""A weed is no more than a flower in disguise. By: James Lowell.""], "
"[""Do, or do not. There is no try. By: Yoda.""], "
"[""All serious daring starts from within. By: Harriet Beecher Stowe.""], "
"[""The best teacher is experience learned from failures. By: Byron Pulsifer.""], "
"[""Think how hard physics would be if particles could think. By: Murray Gell-Mann.""], "
"[""Love is the flower youve got to let grow. By: John Lennon.""], "
"[""Dont wait. The time will never be just right. By: Napoleon Hill.""], "
"[""Time is the wisest counsellor of all. By: Pericles.""], "
"[""You give before you get. By: Napoleon Hill.""], "
"[""Wisdom begins in wonder. By: Socrates.""], "
"[""Without courage, wisdom bears no fruit. By: Baltasar Gracian.""], "
"[""Change in all things is sweet. By: Aristotle.""], "
"[""What you fear is that which requires action to overcome. By: Byron Pulsifer.""], "
"[""When performance exceeds ambition, the overlap is called success. By: Cullen Hightower.""], "
"[""When deeds speak, words are nothing. By: African proverb.""], "
"[""Real magic in relationships means an absence of judgement of others. By: Wayne Dyer.""], "
"[""I never think of the future. It comes soon enough. By: Albert Einstein.""], "
"[""Skill to do comes of doing. By: Ralph Emerson.""], "
"[""Wisdom is the supreme part of happiness. By: Sophocles.""], "
"[""I believe that every person is born with talent. By: Maya Angelou.""], "
"[""Important principles may, and must, be inflexible. By: Abraham Lincoln.""], "
"[""The undertaking of a new action brings new strength. By: Richard Evans.""], "
"[""The years teach much which the days never know. By: Ralph Emerson.""], "
"[""Our distrust is very expensive. By: Ralph Emerson.""], "
"[""All know the way; few actually walk it. By: Bodhidharma.""], "
"[""Great talent finds happiness in execution. By: Johann Wolfgang von Goethe.""], "
"[""Faith in oneself is the best and safest course. By: Michelangelo.""], "
"[""Courage is going from failure to failure without losing enthusiasm. By: Winston Churchill.""], "
"[""The two most powerful warriors are patience and time. By: Leo Tolstoy.""], "
"[""Anticipate the difficult by managing the easy. By: Lao Tzu.""], "
"[""Those who are free of resentful thoughts surely find peace. By: Buddha.""], "
"[""A short saying often contains much wisdom. By: Sophocles.""], "
"[""It takes both sunshine and rain to make a rainbow. By: .""], "
"[""A beautiful thing is never perfect. By: .""], "
"[""Only do what your heart tells you. By: Princess Diana.""], "
"[""Life is movement-we breathe, we eat, we walk, we move! By John Pierrakos.""], "
"[""No one can make you feel inferior without your consent. By: Eleanor Roosevelt.""], "
"[""Argue for your limitations, and sure enough theyre yours. By: Richard Bach.""], "
"[""Luck is what happens when preparation meets opportunity. By: Seneca.""], "
"[""Victory belongs to the most persevering. By: Napoleon Bonaparte.""], "
"[""Love all, trust a few, do wrong to none. By: William Shakespeare.""], "
"[""In order to win, you must expect to win. By: Richard Bach.""], "
"[""A goal is a dream with a deadline. By: Napoleon Hill.""], "
"[""You can do it if you believe you can! By Napoleon Hill.""], "
"[""Set your goals high, and dont stop till you get there. By: Bo Jackson.""], "
"[""Every new day is another chance to change your life. By: .""], "
"[""Smile, breathe, and go slowly. By: Thich Nhat Hanh.""], "
"[""Nobody will believe in you unless you believe in yourself. By: Liberace.""], "
"[""Do more than dream work. By: William Arthur Ward.""], "
"[""No man was ever wise by chance. By: Seneca.""], "
"[""Some pursue happiness, others create it. By: .""], "
"[""He that is giddy thinks the world turns round. By: William Shakespeare.""], "
"[""Dont ruin the present with the ruined past. By: Ellen Gilchrist.""], "
"[""Do something wonderful, people may imitate it. By: Albert Schweitzer.""], "
"[""We do what we do because we believe. By: .""], "
"[""Do one thing every day that scares you. By: Eleanor Roosevelt.""], "
"[""If you cannot be silent be brilliant and thoughtful. By: Byron Pulsifer.""], "
"[""Who looks outside, dreams; who looks inside, awakes. By: Carl Jung.""], "
"[""What we think, we become. By: Buddha.""], "
"[""The shortest answer is doing. By: Lord Herbert.""], "
"[""All our knowledge has its origins in our perceptions. By: Leonardo da Vinci.""], "
"[""The harder you fall, the higher you bounce. By: .""], "
"[""Trusting our intuition often saves us from disaster. By: Anne Wilson Schaef.""], "
"[""Truth is powerful and it prevails. By: Sojourner Truth.""], "
"[""Light tomorrow with today! By Elizabeth Browning.""], "
"[""Silence is a fence around wisdom. By: German proverb.""], "
"[""Society develops wit, but its contemplation alone forms genius. By: Madame de Stael.""], "
"[""The simplest things are often the truest. By: Richard Bach.""], "
"[""Everyone smiles in the same language. By: .""], "
"[""Yesterday I dared to struggle. Today I dare to win. By: Bernadette Devlin.""], "
"[""No alibi will save you from accepting the responsibility. By: Napoleon Hill.""], "
"[""If you can dream it, you can do it. By: Walt Disney.""], "
"[""It is better to travel well than to arrive. By: Buddha.""], "
"[""Life shrinks or expands in proportion to ones courage. By: Anais Nin.""], "
"[""You have to believe in yourself. By: Sun Tzu.""], "
"[""Our intention creates our reality. By: Wayne Dyer.""], "
"[""Silence is a true friend who never betrays. By: Confucius.""], "
"[""Character develops itself in the stream of life. By: Johann Wolfgang von Goethe.""], "
"[""From little acorns mighty oaks do grow. By: American proverb.""], "
"[""You cant stop the waves, but you can learn to surf. By: Jon Kabat-Zinn.""], "
"[""Reality does not conform to the ideal, but confirms it. By: Gustave Flaubert.""], "
"[""Speak low, if you speak love. By: William Shakespeare.""], "
"[""A really great talent finds its happiness in execution. By: Johann Wolfgang von Goethe.""], "
"[""Reality leaves a lot to the imagination. By: John Lennon.""], "
"[""The greatest remedy for anger is delay. By: Seneca.""], "
"[""Growth itself contains the germ of happiness. By: Pearl Buck.""], "
"[""You can do whats reasonable or you can decide whats possible. By: .""], "
"[""Nothing strengthens authority so much as silence. By: Leonardo da Vinci.""], "
"[""Wherever you go, go with all your heart. By: Confucius.""], "
"[""The only real valuable thing is intuition. By: Albert Einstein.""], "
"[""Good luck is another name for tenacity of purpose. By: Ralph Emerson.""], "
"[""Rainbows apologize for angry skies. By: Sylvia Voirol.""], "
"[""Friendship isnt a big thing. Its a million little things. By: .""], "
"[""Time is the most valuable thing a man can spend. By: Theophrastus.""], "
"[""Whatever happens, take responsibility. By: Tony Robbins.""], "
"[""Experience is simply the name we give our mistakes. By: Oscar Wilde.""], "
"[""I think and that is all that I am. By: Wayne Dyer.""], "
"[""A good plan today is better than a perfect plan tomorrow. By: .""], "
"[""If the shoe doesnt fit, must we change the foot? By Gloria Steinem.""], "
"[""Each day provides its own gifts. By: Marcus Aurelius.""], "
"[""While we stop to think, we often miss our opportunity. By: Publilius Syrus.""], "
"[""Life isnt about finding yourself. Life is about creating yourself. By: Bernard Shaw.""], "
"[""To bring anything into your life, imagine that its already there. By: Richard Bach.""], "
"[""Begin to weave and God will give you the thread. By: German proverb.""], "
"[""The more you know yourself, the more you forgive yourself. By: Confucius.""], "
"[""Someone remembers, someone cares; your name is whispered in someones prayers. By: .""], "
"[""Without faith, nothing is possible. With it, nothing is impossible. By: Mary Bethune.""], "
"[""Once we accept our limits, we go beyond them. By: Albert Einstein.""], "
"[""Dont be pushed by your problems; be led by your dreams. By: .""], "
"[""Whatever we expect with confidence becomes our own self-fulfilling prophecy. By: Brian Tracy.""], "
"[""Everything you can imagine is real. By: Pablo Picasso.""], "
"[""Fear is a darkroom where negatives develop. By: Usman Asif.""], "
"[""The truest wisdom is a resolute determination. By: Napoleon Bonaparte.""], "
"[""Life is the flower for which love is the honey. By: Victor Hugo.""], "
"[""Freedom is the right to live as we wish. By: Epictetus.""], "
"[""Change your thoughts, change your life! By .""], "
"[""Never ignore a gut feeling, but never believe that its enough. By: Robert Heller.""], "
"[""Loss is nothing else but change,and change is Natures delight. By: Marcus Aurelius.""], "
"[""Someone is special only if you tell them. By: Byron Pulsifer.""], "
"[""Today is the tomorrow you worried about yesterday. By: .""], "
"[""There is no way to happiness, happiness is the way. By: Thich Nhat Hanh.""], "
"[""The day always looks brighter from behind a smile. By: .""], "
"[""A stumble may prevent a fall. By: .""], "
"[""He who talks more is sooner exhausted. By: Lao Tzu.""], "
"[""He who is contented is rich. By: Lao Tzu.""], "
"[""What we achieve inwardly will change outer reality. By: Plutarch.""], "
"[""Our strength grows out of our weaknesses. By: Ralph Waldo Emerson.""], "
"[""We must become the change we want to see. By: Mahatma Gandhi.""], "
"[""Happiness is found in doing, not merely possessing. By: Napoleon Hill.""], "
"[""Put your future in good hands  your own. By: .""], "
"[""We choose our destiny in the way we treat others. By: Wit.""], "
"[""No snowflake in an avalanche ever feels responsible. By: Voltaire.""], "
"[""Fortune favours the brave. By: Virgil.""], "
"[""I believe in one thing only, the power of human will. By: Joseph Stalin.""], "
"[""The best way out is always through. By: Robert Frost.""], "
"[""The mind unlearns with difficulty what it has long learned. By: Seneca.""], "
"[""I destroy my enemies when I make them my friends. By: Abraham Lincoln.""], "
"[""No garden is without its weeds. By: Thomas Fuller.""], "
"[""There is no failure except in no longer trying. By: Elbert Hubbard.""], "
"[""Kind words will unlock an iron door. By: Turkish proverb.""], "
"[""Problems are only opportunities with thorns on them. By: Hugh Miller.""], "
"[""Life is just a chance to grow a soul. By: A. Powell Davies.""], "
"[""Mountains cannot be surmounted except by winding paths. By: Johann Wolfgang von Goethe.""], "
"[""May our hearts garden of awakening bloom with hundreds of flowers. By: Thich Nhat Hanh.""], "
"[""Fortune befriends the bold. By: John Dryden.""], "
"[""Keep true to the dreams of thy youth. By: Friedrich von Schiller.""], "
"[""Youre never a loser until you quit trying. By: Mike Ditka.""], "
"[""Science is organized knowledge. Wisdom is organized life. By: Immanuel Kant.""], "
"[""Knowing is not enough; we must apply! By Johann Wolfgang von Goethe.""], "
"[""Strong beliefs win strong men, and then make them stronger. By: Richard Bach.""], "
"[""Autumn is a second spring when every leaf is a flower. By: Albert Camus.""], "
"[""If you surrender to the wind, you can ride it. By: Toni Morrison.""], "
"[""Keep yourself to the sunshine and you cannot see the shadow. By: Helen Keller.""], "
"[""Write your plans in pencil and give God the eraser. By: Paulo Coelho.""], "
"[""Inspiration exists, but it has to find us working. By: Pablo Picasso.""], "
"[""Pick battles big enough to matter, small enough to win. By: Jonathan Kozol.""], "
"[""Dont compromise yourself. You are all youve got. By: Janis Joplin.""], "
"[""A short saying oft contains much wisdom. By: Sophocles.""], "
"[""Difficulties are things that show a person what they are. By: Epictetus.""], "
"[""When you doubt your power, you give power to your doubt. By: Honore de Balzac.""], "
"[""The cause is hidden. The effect is visible to all. By: Ovid.""], "
"[""A prudent question is one half of wisdom. By: Francis Bacon.""], "
"[""The path to success is to take massive, determined action. By: Tony Robbins.""], "
"[""I allow my intuition to lead my path. By: Manuel Puig.""], "
"[""Nature takes away any faculty that is not used. By: William R. Inge.""], "
"[""If you wish to be a writer, write. By: Epictetus.""], "
"[""There is no way to prosperity, prosperity is the way. By: Wayne Dyer.""], "
"[""Either you run the day or the day runs you. By: Jim Rohn.""], "
"[""Better be ignorant of a matter than half know it. By: Publilius Syrus.""], "
"[""Follow your instincts. That is where true wisdom manifests itself. By: Oprah Winfrey.""], "
"[""There never was a good knife made of bad steel. By: Benjamin Franklin.""], "
"[""To accomplish great things, we must dream as well as act. By: Anatole France.""], "
"[""Patience is the companion of wisdom. By: Saint Augustine.""], "
